Unibet_ID,Unibet_URL,Unibet_Name,Fotmob_URL,Fotmob_Name,Match_Type,Country/Region
1000093381,https://www.unibet.com.au/betting/sports/filter/football/champions_league,Champions League,https://www.fotmob.com/leagues/42,Champions League,Exact Match,International
1000093399,https://www.unibet.com.au/betting/sports/filter/football/copa_libertadores,Copa Libertadores,https://www.fotmob.com/leagues/45,Copa Libertadores,Exact Match,International
1000179126,https://www.unibet.com.au/betting/sports/filter/football/copa_sudamericana,Copa Sudamericana,https://www.fotmob.com/leagues/299,Copa Sudamericana,Exact Match,International
2000069140,https://www.unibet.com.au/betting/sports/filter/football/champions_league_qualification,Champions League Qualification,https://www.fotmob.com/leagues/10611,Champions League Qualification,Exact Match,International
2000077426,https://www.unibet.com.au/betting/sports/filter/football/europa_league,Europa League Qualification,https://www.fotmob.com/leagues/10613,Europa League Qualification,Exact Match,International
2000130521,https://www.unibet.com.au/betting/sports/filter/football/conference_league,Conference League Qualification,https://www.fotmob.com/leagues/10615,Conference League Qualification,Exact Match,International
2000120032,https://www.unibet.com.au/betting/sports/filter/football/club_tournaments/leagues_cup,Leagues Cup,https://www.fotmob.com/leagues/10043,Leagues Cup,Exact Match,International
,https://www.unibet.com.au/betting/sports/filter/football/club_friendly_matches,Club Friendly Matches,https://www.fotmob.com/leagues/489,Club Friendlies,Different Name,International
1000123032,https://www.unibet.com.au/betting/sports/filter/football/african_nations_cup,African Nations Cup,https://www.fotmob.com/leagues/289,Africa Cup of Nations,Different Name,International
1000094985,https://www.unibet.com.au/betting/sports/filter/football/england/premier_league,Premier League,https://www.fotmob.com/leagues/47,Premier League,Exact Match,England
1000171537,https://www.unibet.com.au/betting/sports/filter/football/ukraine/premier_league,Premier League,https://www.fotmob.com/leagues/441,Premier League,Exact Match,Ukraine
1000094981,https://www.unibet.com.au/betting/sports/filter/football/england/the_championship,The Championship,https://www.fotmob.com/leagues/48,Championship,Different Name,England
1000094982,https://www.unibet.com.au/betting/sports/filter/football/england/league_one,League One,https://www.fotmob.com/leagues/108,League One,Exact Match,England
1000094987,https://www.unibet.com.au/betting/sports/filter/football/england/league_two,League Two,https://www.fotmob.com/leagues/109,League Two,Exact Match,England
1000095485,https://www.unibet.com.au/betting/sports/filter/football/england/national_league,National League,https://www.fotmob.com/leagues/117,National League,Exact Match,England
1000094984,https://www.unibet.com.au/betting/sports/filter/football/england/fa_cup,FA Cup,https://www.fotmob.com/leagues/132,FA Cup,Exact Match,England
1000094986,https://www.unibet.com.au/betting/sports/filter/football/england/efl_cup,EFL Cup,https://www.fotmob.com/leagues/133,EFL Cup,Exact Match,England
1000095137,https://www.unibet.com.au/betting/sports/filter/football/england/efl_trophy,EFL Trophy,https://www.fotmob.com/leagues/142,EFL Trophy,Exact Match,England
,https://www.unibet.com.au/betting/sports/filter/football/england/national_league_north,National League North,https://www.fotmob.com/leagues/8944,National North & South,Different Name,England
,https://www.unibet.com.au/betting/sports/filter/football/england/national_league_south,National League South,https://www.fotmob.com/leagues/8944,National North & South,Different Name,England
,https://www.unibet.com.au/betting/sports/filter/football/england/premier_league_2_u21__division_1_,Premier League 2 U21 (Division 1),https://www.fotmob.com/leagues/9084,Premier League 2 Div 1,Different Name,England
1000094994,https://www.unibet.com.au/betting/sports/filter/football/germany/bundesliga,Bundesliga,https://www.fotmob.com/leagues/54,Bundesliga,Exact Match,Germany
1000094993,https://www.unibet.com.au/betting/sports/filter/football/germany/2__bundesliga,2. Bundesliga,https://www.fotmob.com/leagues/146,2. Bundesliga,Exact Match,Germany
1000094995,https://www.unibet.com.au/betting/sports/filter/football/germany/dfb_pokal,DFB Pokal,https://www.fotmob.com/leagues/209,DFB Pokal,Exact Match,Germany
1000353685,https://www.unibet.com.au/betting/sports/filter/football/germany/dfl-supercup,DFL-Supercup,https://www.fotmob.com/leagues/8924,Super Cup,Different Name,Germany
2000053119,https://www.unibet.com.au/betting/sports/filter/football/tunisia/ligue_1,Ligue 1,https://www.fotmob.com/leagues/544,Ligue I,Different Name,Tunisia
1000094991,https://www.unibet.com.au/betting/sports/filter/football/france/ligue_1,Ligue 1,https://www.fotmob.com/leagues/53,Ligue 1,Exact Match,France
1000094568,https://www.unibet.com.au/betting/sports/filter/football/france/ligue_2,Ligue 2,https://www.fotmob.com/leagues/110,Ligue 2,Exact Match,France
1000094990,https://www.unibet.com.au/betting/sports/filter/football/france/coupe_de_france,Coupe de France,https://www.fotmob.com/leagues/134,Coupe de France,Exact Match,France
1000094825,https://www.unibet.com.au/betting/sports/filter/football/france/championnat_national,Championnat National,https://www.fotmob.com/leagues/8970,National,Different Name,France
1000095001,https://www.unibet.com.au/betting/sports/filter/football/italy/serie_a,Serie A,https://www.fotmob.com/leagues/55,Serie A,Exact Match,Italy
1000095002,https://www.unibet.com.au/betting/sports/filter/football/italy/serie_b,Serie B,https://www.fotmob.com/leagues/86,Serie B,Exact Match,Italy
1000094998,https://www.unibet.com.au/betting/sports/filter/football/italy/coppa_italia,Coppa Italia,https://www.fotmob.com/leagues/141,Coppa Italia,Exact Match,Italy
1000094980,https://www.unibet.com.au/betting/sports/filter/football/netherlands/eredivisie,Eredivisie,https://www.fotmob.com/leagues/57,Eredivisie,Exact Match,Netherlands
1000095127,https://www.unibet.com.au/betting/sports/filter/football/netherlands/eerste_divisie,Eerste Divisie,https://www.fotmob.com/leagues/111,Eerste Divisie,Exact Match,Netherlands
1000094979,https://www.unibet.com.au/betting/sports/filter/football/netherlands/knvb_beker,KNVB Beker,https://www.fotmob.com/leagues/235,KNVB Cup,Different Name,Netherlands
1000095042,https://www.unibet.com.au/betting/sports/filter/football/portugal/primeira_liga,Primeira Liga,https://www.fotmob.com/leagues/61,Liga Portugal,Exact Match,Portugal
1000265213,https://www.unibet.com.au/betting/sports/filter/football/portugal/liga_2,Liga 2,https://www.fotmob.com/leagues/185,Liga Portugal 2,Different Name,Portugal
1000094978,https://www.unibet.com.au/betting/sports/filter/football/denmark/superligaen,Superligaen,https://www.fotmob.com/leagues/46,Superligaen,Exact Match,Denmark
1000094976,https://www.unibet.com.au/betting/sports/filter/football/denmark/1st_division,1st Division,https://www.fotmob.com/leagues/85,1. Division,Different Name,Denmark
1000443738,https://www.unibet.com.au/betting/sports/filter/football/denmark/dbu_pokalen,DBU Pokalen,https://www.fotmob.com/leagues/242,DBU Pokalen,Exact Match,Denmark
1000095010,https://www.unibet.com.au/betting/sports/filter/football/norway/eliteserien,Eliteserien,https://www.fotmob.com/leagues/59,Eliteserien,Exact Match,Norway
1000095003,https://www.unibet.com.au/betting/sports/filter/football/norway/obos-ligaen,OBOS-ligaen,https://www.fotmob.com/leagues/203,OBOS-ligaen,Exact Match,Norway
1000176403,https://www.unibet.com.au/betting/sports/filter/football/norway/toppserien__w_,Toppserien (W),https://www.fotmob.com/leagues/331,Toppserien,Different Name,Norway
1000094989,https://www.unibet.com.au/betting/sports/filter/football/finland/veikkausliiga,Veikkausliiga,https://www.fotmob.com/leagues/51,Veikkausliiga,Exact Match,Finland
