Unibet_ID,Unibet_Name,Fotmob_ID,Fotmob_Name,Match_Type,Country/Region,Is_Verified
1000093381,Champions League,42,Champions League,Exact Match,International,false
1000093399,Copa Libertadores,45,Copa Libertadores,Exact Match,International,false
1000093570,International Friendly Matches,114,Friendlies,Different Name,International,false
1000093998,Copa do Brasil,9067,Copa do Brasil,Exact Match,Brazil,false
1000094112,Liga MX,230,Liga MX Clausura,Different Name,Mexico,true
1000094254,Scottish Cup,137,Scottish Cup,Exact Match,Scotland,false
1000094273,Cup,145,Cup Final Stage,Different Name,Greece,true
1000094431,Brasileirao Serie B,8814,Serie B,Different Name,Brazil,false
1000094568,Ligue 2,110,Ligue 2,Exact Match,France,false
1000094569,Brasileirao Serie A,268,Serie A,Different Name,Brazil,false
1000094633,Trophée des Champions,207,Super Cup,Different Name,France,true
1000094708,La Liga 2,140,LaLiga2,Different Name,Spain,true
1000094744,Ettan Norra,169,Ettan,Different Name,Sweden,false
1000094745,Ettan Södra,8,Ettan,Different Name,Sweden,false
1000094796,Ykkönen,251,Ykkosliiga,Different Name,Finland,false
1000094818,Segunda RFEF 3,9138,Segunda Federación,Different Name,Spain,true
1000094825,Championnat National,8970,National,Different Name,France,false
1000094961,Beker van Belgie,149,Belgian Cup,Different Name,Belgium,false
1000094965,Jupiler Pro League,40,First Division A,Different Name,Belgium,false
1000094970,Paulista A1,10244,Paulista A1,Exact Match,Brazil,true
1000094975,First League,122,1. Liga,Different Name,Czech Republic,false
1000094976,1st Division,85,1. Division,Different Name,Denmark,false
1000094978,Superligaen,46,Superligaen,Exact Match,Denmark,false
1000094979,KNVB Beker,235,KNVB Cup,Different Name,Netherlands,false
1000094980,Eredivisie,57,Eredivisie,Exact Match,Netherlands,true
1000094981,The Championship,48,Championship,Different Name,England,true
1000094982,League One,108,League One,Exact Match,England,true
1000094984,FA Cup,132,FA Cup,Exact Match,England,true
1000094985,Premier League,47,Premier League,Exact Match,England,true
1000094986,EFL Cup,133,EFL Cup,Exact Match,England,false
1000094987,League Two,109,League Two,Exact Match,England,true
1000094989,Veikkausliiga,51,Veikkausliiga,Exact Match,Finland,false
1000094990,Coupe de France,134,Coupe de France,Exact Match,France,true
1000094991,Ligue 1,53,Ligue 1,Exact Match,France,false
1000094993,2. Bundesliga,146,2. Bundesliga,Exact Match,Germany,false
1000094994,Bundesliga,54,Bundesliga,Exact Match,Germany,true
1000094995,DFB Pokal,209,DFB Pokal,Exact Match,Germany,false
1000094996,Super League,135,Super League,Exact Match,Greece,true
1000094998,Coppa Italia,141,Coppa Italia,Exact Match,Italy,false
1000095001,Serie A,55,Serie A,Exact Match,Italy,true
1000095002,Serie B,86,Serie B,Exact Match,Italy,true
1000095003,OBOS-ligaen,203,OBOS-ligaen,Exact Match,Norway,false
1000095010,Eliteserien,59,Eliteserien,Exact Match,Norway,false
1000095016,Puchar Polski,198,Puchar Polski,Exact Match,Poland,false
1000095020,Super League,69,Super League,Exact Match,Switzerland,false
1000095021,Challenge League,163,Challenge League,Exact Match,Switzerland,false
1000095042,Primeira Liga,61,Liga Portugal,Different Name,Portugal,true
1000095045,Championship,123,Championship,Exact Match,Scotland,true
1000095046,League Cup,180,League Cup,Exact Match,Scotland,false
1000095047,Scottish Premiership,64,Premiership,Different Name,Scotland,true
1000095049,La Liga,87,LaLiga,Different Name,Spain,true
1000095050,Copa del Rey,138,Copa del Rey,Exact Match,Spain,true
1000095052,Superettan,168,Superettan,Exact Match,Sweden,false
1000095057,Allsvenskan,67,Allsvenskan,Exact Match,Sweden,false
1000095062,Süper Lig,71,Süper Lig,Exact Match,Turkey,false
1000095063,MLS,130,MLS,Exact Match,USA,false
1000095127,Eerste Divisie,111,Eerste Divisie,Exact Match,Netherlands,false
1000095137,EFL Trophy,142,EFL Trophy,Exact Match,England,false
1000095155,Primera Chile,273,Primera Division,Different Name,Chile,false
1000095233,Supercopa,139,Super Cup,Different Name,Spain,true
1000095346,Premium Liiga,248,Premium liiga,Different Name,Estonia,false
1000095485,National League,117,National League,Exact Match,England,true
1000095499,Liga I,189,Liga I,Exact Match,Romania,false
1000095601,Premier Division,126,Premier Division,Exact Match,Ireland,false
1000095645,J1-League,223,J. League,Different Name,Japan,false
1000095677,Süper Kupa,166,Super Cup,Different Name,Turkey,true
1000095713,Liga Pro,246,Serie A,Different Name,Ecuador,false
1000095736,1. HNL League,252,HNL,Different Name,Croatia,false
1000123032,Africa Cup of Nations,289,Africa Cup of Nations,Exact Match,International,true
1000152623,J2-League,8974,J. League 2,Different Name,Japan,false
1000152705,K-League 1,9080,K League 1,Different Name,South Korea,false
1000154221,National Football League,253,FNL,Different Name,Czech Republic,false
1000157714,A Lyga,228,A Lyga,Exact Match,Lithuania,false
1000158930,Virsliga,226,Virsliga,Exact Match,Latvia,false
1000171537,Premier League,441,Premier League,Exact Match,Ukraine,false
1000176396,OBOS Damallsvenskan (W),9089,Damallsvenskan (W),Different Name,Sweden,false
1000176403,Toppserien (W),331,Toppserien,Different Name,Norway,false
1000179126,Copa Sudamericana,299,Copa Sudamericana,Exact Match,International,false
1000182606,A-League,113,A-League Men,Different Name,Australia,true
1000237680,Liga 1,131,Liga 1,Exact Match,Peru,false
